program_id,var,degree,use_count,use_instr_count,live_range,spill_cost,K,label
cfg16_loop_with_merge_mid.txt,i,4,3,3,17,54,2,1
cfg16_loop_with_merge_mid.txt,t0,3,2,2,3,8,2,0
cfg16_loop_with_merge_mid.txt,acc,3,3,3,17,54,3,1
cfg16_loop_with_merge_mid.txt,base,3,2,2,16,34,3,1
cfg16_loop_with_merge_mid.txt,i,4,3,3,17,54,3,1
cfg16_loop_with_merge_mid.txt,t0,3,2,2,3,8,3,0
cfg16_loop_with_merge_mid.txt,acc,3,3,3,17,54,4,1
cfg16_loop_with_merge_mid.txt,base,3,2,2,16,34,4,1
cfg16_loop_with_merge_mid.txt,i,4,3,3,17,54,4,1
cfg16_loop_with_merge_mid.txt,t0,3,2,2,3,8,4,1
cfg16_loop_with_merge_mid.txt,acc,3,3,3,17,54,5,1
cfg16_loop_with_merge_mid.txt,base,3,2,2,16,34,5,1
cfg16_loop_with_merge_mid.txt,i,4,3,3,17,54,5,1
cfg16_loop_with_merge_mid.txt,t0,3,2,2,3,8,5,1
cfg17_branch_chain_mid.txt,t0,5,3,3,11,36,1,0
cfg17_branch_chain_mid.txt,t1,4,2,2,5,12,1,0
cfg17_branch_chain_mid.txt,t2,2,1,1,7,8,1,0
cfg17_branch_chain_mid.txt,u0,1,1,1,1,2,1,0
cfg17_branch_chain_mid.txt,u1,0,1,1,1,2,1,1
cfg17_branch_chain_mid.txt,x0,6,2,2,11,24,1,0
